attempt_num,board_number,board_label,screen_type,board_score,running_total,death,death_num,lives,frame,bonus_timer
237,228,228,Blue,25600,5127600,false,,28,855257,
238,229,229,Blue,24300,5151900,false,,28,860151,
239,230,230,Blue,24300,5176200,false,,28,865072,
240,231,231,Blue,25000,5201200,false,,28,869527,
241,232,232,Blue,25400,5226600,false,,28,873803,
242,233,233,Blue,25700,5252300,false,,28,877926,
243,234,234,Blue,26100,5278400,false,,28,881742,
244,235,235,Blue,24300,5302700,false,,28,886483,
245,236,236,Blue,25700,5328400,false,,28,890602,
246,237,237,Blue,25200,5353600,false,,28,894896,
247,238,238,Blue,25200,5378800,false,,28,899244,
248,239,239,Blue,25100,5403900,false,,28,903659,
249,240,240,Blue,25000,5428900,false,,28,908133,
251,241,241,Blue,9500,5438400,true,10,27,910507,4800
251,241,241,Blue,18200,5456600,false,,27,913492,
252,242,242,Blue,25700,5482300,false,,27,917586,
253,243,243,Blue,25100,5507400,false,,27,921920,
254,244,244,Blue,25100,5532500,false,,27,926183,
255,245,245,Blue,25500,5558000,false,,27,930410,
256,246,246,Blue,25500,5583500,false,,27,934554,
257,247,247,Blue,25700,5609200,false,,27,938612,
259,248,248,Blue,14800,5624000,true,11,26,942112,2600
259,248,248,Blue,14900,5638900,false,,26,944069,
260,249,249,Blue,25700,5664600,false,,26,948162,
261,250,250,Blue,24700,5689300,false,,26,952804,
262,251,251,Blue,24300,5713600,false,,26,957882,
263,252,252,Blue,25400,5739000,false,,26,962052,
265,253,253,Blue,6500,5745500,true,12,25,964085,5500
265,253,253,Blue,21400,5766900,false,,25,966974,
266,254,254,Blue,24300,5791200,false,,25,972043,
267,255,255,Blue,24300,5815500,false,,25,977185,
268,256,256 (Board 0),Blue,25200,5840700,false,,25,981496,
269,257,257 (Loop 2: Board 1),Blue,15200,5855900,false,,25,982779,
270,258,258 (Loop 2: Board 2),Gold,15300,5871200,false,,25,983958,
271,259,259 (Loop 2: Board 3),Blue,18900,5890100,false,,25,986968,
272,260,260 (Loop 2: Board 4),Grey,17900,5908000,false,,25,990163,
273,261,261 (Loop 2: Board 5),Gold,14400,5922400,false,,25,992202,
274,262,262 (Loop 2: Board 6),Blue,17700,5940100,false,,25,995425,
275,263,263 (Loop 2: Board 7),Grey,18100,5958200,false,,25,998934,
276,264,264 (Loop 2: Board 8),Gold,14200,5972400,false,,25,1001253,
277,265,265 (Loop 2: Board 9),Blue,17800,5990200,false,,25,1004689,
278,266,266 (Loop 2: Board 10),Grey,17000,6007200,false,,25,1009916,
279,267,267 (Loop 2: Board 11),Gold,14300,6021500,false,,25,1012051,
280,268,268 (Loop 2: Board 12),Blue,21700,6043200,false,,25,1015371,
281,269,269 (Loop 2: Board 13),Grey,19600,6062800,false,,25,1020720,
282,270,270 (Loop 2: Board 14),Gold,14800,6077600,false,,25,1022971,
283,271,271 (Loop 2: Board 15),Blue,20600,6098200,false,,25,1027088,
284,272,272 (Loop 2: Board 16),Grey,20200,6118400,false,,25,1031829,
285,273,273 (Loop 2: Board 17),Gold,14800,6133200,false,,25,1034076,
286,274,274 (Loop 2: Board 18),Blue,23100,6156300,false,,25,1038485,
287,275,275 (Loop 2: Board 19),Grey,24700,6181000,false,,25,1042524,
288,276,276 (Loop 2: Board 20),Gold,14700,6195700,false,,25,1044851,
289,277,277 (Loop 2: Board 21),Blue,24000,6219700,false,,25,1048898,
290,278,278 (Loop 2: Board 22),Grey,19400,6239100,false,,25,1053383,
291,279,279 (Loop 2: Board 23),Gold,11900,6251000,false,,25,1055702,
292,280,280 (Loop 2: Board 24),Blue,22900,6273900,false,,25,1060661,
293,281,281 (Loop 2: Board 25),Grey,29300,6303200,false,,25,1064319,
294,282,282 (Loop 2: Board 26),Gold,14700,6317900,false,,25,1067336,
295,283,283 (Loop 2: Board 27),Blue,25600,6343500,false,,25,1071453,
296,284,284 (Loop 2: Board 28),Grey,27800,6371300,false,,25,1075147,
297,285,285 (Loop 2: Board 29),Gold,13400,6384700,false,,25,1078164,
298,286,286 (Loop 2: Board 30),Blue,24000,6408700,false,,25,1083468,
299,287,287 (Loop 2: Board 31),Grey,27800,6436500,false,,25,1087168,
300,288,288 (Loop 2: Board 32),Gold,13900,6450400,false,,25,1089521,
301,289,289 (Loop 2: Board 33),Blue,25400,6475800,false,,25,1093596,
302,290,290 (Loop 2: Board 34),Grey,27200,6503000,false,,25,1097609,
303,291,291 (Loop 2: Board 35),Gold,13200,6516200,false,,25,1101048,
304,292,292 (Loop 2: Board 36),Blue,25200,6541400,false,,25,1105335,
305,293,293 (Loop 2: Board 37),Grey,27800,6569200,false,,25,1109007,
306,294,294 (Loop 2: Board 38),Gold,13700,6582900,false,,25,1111750,
307,295,295 (Loop 2: Board 39),Blue,24400,6607300,false,,25,1116371,
308,296,296 (Loop 2: Board 40),Grey,27800,6635100,false,,25,1120057,
309,297,297 (Loop 2: Board 41),Gold,13600,6648700,false,,25,1122706,
310,298,298 (Loop 2: Board 42),Blue,25700,6674400,false,,25,1126765,
311,299,299 (Loop 2: Board 43),Grey,27800,6702200,false,,25,1130489,
312,300,300 (Loop 2: Board 44),Gold,13800,6716000,false,,25,1133058,
313,301,301 (Loop 2: Board 45),Blue,25900,6741900,false,,25,1137093,
314,302,302 (Loop 2: Board 46),Grey,28100,6770000,false,,25,1140664,
315,303,303 (Loop 2: Board 47),Gold,13800,6783800,false,,25,1143355,
316,304,304 (Loop 2: Board 48),Blue,24300,6808100,false,,25,1148449,
317,305,305 (Loop 2: Board 49),Grey,28100,6836200,false,,25,1151971,
318,306,306 (Loop 2: Board 50),Gold,13500,6849700,false,,25,1154948,
319,307,307 (Loop 2: Board 51),Blue,24300,6874000,false,,25,1159850,
320,308,308 (Loop 2: Board 52),Grey,27800,6901800,false,,25,1163536,
321,309,309 (Loop 2: Board 53),Gold,13700,6915500,false,,25,1166565,
323,310,310 (Loop 2: Board 54),Blue,8800,6924300,true,13,24,1168762,5200
323,310,310 (Loop 2: Board 54),Blue,19000,6943300,false,,24,1171689,
324,311,311 (Loop 2: Board 55),Grey,27600,6970900,false,,24,1175499,
325,312,312 (Loop 2: Board 56),Gold,14300,6985200,false,,24,1178114,
326,313,313 (Loop 2: Board 57),Blue,15000,7000200,false,,24,1179195,
327,314,314 (Loop 2: Board 58),Grey,28800,7029000,false,,24,1182420,
328,315,315 (Loop 2: Board 59),Gold,13300,7042300,false,,24,1185529,
330,316,316 (Loop 2: Board 60),Blue,16400,7058700,true,14,23,1191189,0
330,316,316 (Loop 2: Board 60),Blue,15300,7074000,false,,23,1192214,
331,317,317 (Loop 2: Board 61),Grey,27300,7101300,false,,23,1196133,
332,318,318 (Loop 2: Board 62),Gold,14900,7116200,false,,23,1198738,
333,319,319 (Loop 2: Board 63),Blue,15000,7131200,false,,23,1199827,
334,320,320 (Loop 2: Board 64),Grey,27800,7159000,false,,23,1203497,
335,321,321 (Loop 2: Board 65),Gold,12900,7171900,false,,23,1206920,
336,322,322 (Loop 2: Board 66),Blue,24300,7196200,false,,23,1211785,
337,323,323 (Loop 2: Board 67),Grey,27400,7223600,false,,23,1215732,
338,324,324 (Loop 2: Board 68),Gold,14000,7237600,false,,23,1218201,
339,325,325 (Loop 2: Board 69),Blue,25700,7263300,false,,23,1222232,
340,326,326 (Loop 2: Board 70),Grey,28300,7291600,false,,23,1225690,
341,327,327 (Loop 2: Board 71),Gold,13800,7305400,false,,23,1228401,
342,328,328 (Loop 2: Board 72),Blue,26200,7331600,false,,23,1232295,
343,329,329 (Loop 2: Board 73),Grey,27700,7359300,false,,23,1236074,
